policy_number,sale_date,product_value_,sale_value_nis,nature,percentage_of_sale,city,year_of_construction,area,bedrooms,addresses,address,coordinates,closest_direct_address,direct_distance_km,class,sale_year,sale_year_range,subgroup
"[6109, 348]",2023-12-06 00:00:00,19622,400000,משרד,1,רמת גן,1983,23,0,"['רמת גן דרך אבא הלל 1', ""רמת גן ז'בוטינסקי 5""]",אבא הלל 1 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6109, 348]",2023-12-06 00:00:00,400000,400000,משרד,1,רמת גן,1983,23,0,"['רמת גן דרך אבא הלל 1', ""רמת גן ז'בוטינסקי 5""]",אבא הלל 1 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6109, 348]",2024-02-26 00:00:00,1300000,1300000,משרד,0.5,רמת גן,1990,110,0,"['רמת גן דרך אבא הלל 1', ""רמת גן ז'בוטינסקי 5""]",אבא הלל 1 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2024,23-24,23-24 - 500-1000
"[6109, 348]",2022-09-20 00:00:00,1000000,1000000,משרד,1,רמת גן,1983,47,0,"['רמת גן דרך אבא הלל 1', ""רמת גן ז'בוטינסקי 5""]",אבא הלל 1 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2022,21-22,21-22 - 500-1000
"[6109, 451]",2022-09-06 00:00:00,740000,740000,משרד,1,רמת גן,2002,21,0,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2022,21-22,21-22 - 500-1000
"[6109, 451]",2022-10-09 00:00:00,3944000,3944000,דירה בבית קומות,1,רמת גן,2000,128,3,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2022,21-22,21-22 - 500-1000
"[6109, 451]",2022-10-25 00:00:00,2525000,2525000,דירה בבית קומות,1,רמת גן,2002,72,2,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2022,21-22,21-22 - 500-1000
"[6109, 451]",2022-11-27 00:00:00,2850000,2850000,דירה בבית קומות,1,רמת גן,2000,67,2,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2022,21-22,21-22 - 500-1000
"[6109, 451]",2023-03-29 00:00:00,2050000,2050000,דירה בבית קומות,1,רמת גן,2009,62,2,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6109, 451]",2023-08-03 00:00:00,1709400,1709400,דירה בבית קומות,1,רמת גן,2005,63,2,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
