policy_number,sale_date,product_value_,sale_value_nis,nature,percentage_of_sale,city,year_of_construction,area,bedrooms,addresses,address,coordinates,closest_direct_address,direct_distance_km,class,sale_year,sale_year_range,subgroup
"['006157', '0768']",2022-06-20 00:00:00,1400000,1400000,דירה בבית קומות,0.5,רמת גן,2016,98,4,['רמת גן אלרואי 53'],אלרואי 53 רמת גן,"(32.071484166666664, 34.822455399999996)",Bialik,1.971155605,1000+,2022,21-22,21-22 - 1000+
"['006157', '0694']",2021-10-12 00:00:00,2315849,2315849,דירה בבית קומות,1,רמת גן,2022,67,3,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2021,21-22,21-22 - 1000+
"['006158', '0223']",2021-11-02 00:00:00,2000000,2000000,דירה בבית קומות,1,רמת גן,2020,73,3,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2021,21-22,21-22 - 1000+
"['006158', '0223']",2021-11-22 00:00:00,1880000,1880000,דירה בבית קומות,1,רמת גן,2020,73,3,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2021,21-22,21-22 - 1000+
"['006157', '0714']",2021-10-21 00:00:00,2290000,2290000,דירה בבית קומות,1,רמת גן,2000,99,4,['רמת גן המלך יוסף 37'],המלך יוסף 37 רמת גן,"(32.07093413333333, 34.82135576666667)",Bialik,1.981005661,1000+,2021,21-22,21-22 - 1000+
"['006158', '0124']",2021-12-08 00:00:00,2200000,2200000,דירה בבית קומות,1,רמת גן,2002,80,4,['רמת גן הרכסים 69'],הרכסים 69 רמת גן,"(32.0729649, 34.8232546)",Bialik,1.865775408,1000+,2021,21-22,21-22 - 1000+
"['006157', '0696']",2021-10-31 00:00:00,1050000,1050000,דירה בבית קומות,0.5,רמת גן,2008,77,4,['רמת גן אלרואי 47'],אלרואי 47 רמת גן,"(32.07150086666667, 34.8220846)",Bialik,1.953589994,1000+,2021,21-22,21-22 - 1000+
"['006158', '0223']",2021-11-22 00:00:00,2500000,2500000,דירה בבית קומות,1,רמת גן,2020,82,4,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2021,21-22,21-22 - 1000+
"['006158', '0184']",2021-12-08 00:00:00,2000000,2000000,דירה בבית קומות,1,רמת גן,1960,88,3,['רמת גן דרך דוד בן-גוריון 163'],דוד בן-גוריון 163 רמת גן,"(32.07660503969826, 34.81904558976496)",Bialik,1.31903221,1000+,2021,21-22,21-22 - 1000+
"['006157', '0686']",2021-11-08 00:00:00,3050000,3050000,דירה בבית קומות,0.5,רמת גן,1960,100,4,['רמת גן רוחמה 32'],רוחמה 32 רמת גן,"(32.071829192307696, 34.82120437692308)",Bialik,1.884719907,1000+,2021,21-22,21-22 - 1000+
"['006158', '0212']",2022-01-05 00:00:00,2800000,2800000,דירה בבית קומות,1,רמת גן,2019,116,4,['רמת גן עציון 18'],עציון 18 רמת גן,"(32.075310566666666, 34.81939296666667)",Bialik,1.462560522,1000+,2022,21-22,21-22 - 1000+
"['006158', '0422']",2021-12-02 00:00:00,865000,865000,דירה בבית קומות,0.5,רמת גן,1960,92,3,['רמת גן ידידיה 8'],ידידיה 8 רמת גן,"(32.0770061, 34.8201498)",Bialik,1.33048917,1000+,2021,21-22,21-22 - 1000+
"['006158', '0275']",2021-11-04 00:00:00,1240000,1240000,דירה בבית קומות,1,רמת גן,1960,35,2,['רמת גן עוזיאל 37'],עוזיאל 37 רמת גן,"(32.07556182631579, 34.823265142105264)",Bialik,1.628929363,1000+,2021,21-22,21-22 - 1000+
"['006157', '0694']",2021-11-09 00:00:00,3632479,4255849,דירה בבית קומות,1,רמת גן,2022,98,4,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2021,21-22,21-22 - 1000+
"['006158', '0441']",2021-11-29 00:00:00,2380000,2380000,דירה בבית קומות,1,רמת גן,2000,79,4,['רמת גן עוזיאל 34'],עוזיאל 34 רמת גן,"(32.0767735, 34.8231875)",Bialik,1.519422618,1000+,2021,21-22,21-22 - 1000+
"['006157', '0658']",2021-11-18 00:00:00,2400000,2400000,דירה בבית קומות,1,רמת גן,2010,85,4,['רמת גן יד שלום 39'],יד שלום 39 רמת גן,"(32.072613411111114, 34.82162517037037)",Bialik,1.82392969,1000+,2021,21-22,21-22 - 1000+
"['006158', '0106']",2021-12-05 00:00:00,760000,760000,דירה בבית קומות,0.062,רמת גן,1960,47,3,"['רמת גן מוריה 36', 'רמת גן לוחמי סיני 1', 'רמת גן לוחמי סיני 3']",מוריה 36 רמת גן,"(32.07412, 34.8218657)",Bialik,1.688326545,1000+,2021,21-22,21-22 - 1000+
"['006157', '0550']",2021-12-20 00:00:00,375000,375000,דירה בבית קומות,0.25,רמת גן,1950,74,3,"['רמת גן כנפי נשרים 42', 'רמת גן עוזיאל 96']",כנפי נשרים 42 רמת גן,"(32.0700113, 34.8221904)",Bialik,2.106763195,1000+,2021,21-22,21-22 - 1000+
"['006158', '0272']",2022-01-24 00:00:00,2180000,2180000,דירה בבית קומות,1,רמת גן,1960,72,3,['רמת גן עוזיאל 43'],עוזיאל 43 רמת גן,"(32.07535995789473, 34.823250252631574)",Bialik,1.645961291,1000+,2022,21-22,21-22 - 1000+
"['006157', '0660']",2022-01-27 00:00:00,2395000,2395000,דירה בבית קומות,1,רמת גן,2000,80,4,['רמת גן יד שלום 31'],יד שלום 31 רמת גן,"(32.07264376666667, 34.821001555555554)",Bialik,1.794820186,1000+,2022,21-22,21-22 - 1000+
"['006157', '0765']",2022-02-07 00:00:00,1205000,1205000,דירה בבית קומות,0.5,רמת גן,2004,69,3,"['רמת גן רוחמה 46', 'רמת גן רוחמה 44']",רוחמה 46 רמת גן,"(32.07178390769231, 34.82223332307692)",Bialik,1.93199507,1000+,2022,21-22,21-22 - 1000+
"['006157', '0765']",2022-02-07 00:00:00,1205000,1210000,דירה בבית קומות,0.5,רמת גן,2004,69,3,"['רמת גן רוחמה 46', 'רמת גן רוחמה 44']",רוחמה 46 רמת גן,"(32.07178390769231, 34.82223332307692)",Bialik,1.93199507,1000+,2022,21-22,21-22 - 1000+
"['006158', '0017']",2022-02-14 00:00:00,2330000,2330000,דירה בבית קומות,1,רמת גן,1991,96,4,"['רמת גן עוזיאל 12', 'רמת גן עוזיאל 12']",עוזיאל 12 רמת גן,"(32.078208149999995, 34.823013623131345)",Bialik,1.390074234,1000+,2022,21-22,21-22 - 1000+
"['006157', '0601']",2022-02-22 00:00:00,2430000,2430000,דירה בבית קומות,1,רמת גן,1970,70,3,"['רמת גן כנפי נשרים 21', 'רמת גן אלישיב 21']",כנפי נשרים 21 רמת גן,"(32.0706379, 34.8204985)",Bialik,1.980014348,1000+,2022,21-22,21-22 - 1000+
"['006158', '0115']",2022-01-13 00:00:00,2250000,2250000,דירה בבית קומות,1,רמת גן,1960,85,4,['רמת גן מוצא 14'],מוצא 14 רמת גן,"(32.0735188, 34.827526)",Ben Gurion,1.970776516,1000+,2022,21-22,21-22 - 1000+
"['006157', '0684']",2022-02-09 00:00:00,2570000,2570000,דירה בבית קומות,1,רמת גן,2023,85,4,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006158', '0403']",2022-02-22 00:00:00,1250000,1250000,דירה בבית קומות,0.333,רמת גן,1960,111,4,['רמת גן זלמן שניאור 3'],זלמן שניאור 3 רמת גן,"(32.0765541, 34.8204291)",Bialik,1.387017781,1000+,2022,21-22,21-22 - 1000+
"['006157', '0684']",2022-02-09 00:00:00,2185000,2185000,דירה בבית קומות,1,רמת גן,2023,65,3,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006157', '0699']",2022-01-24 00:00:00,800000,800000,דירה בבית קומות,0.068,רמת גן,1950,76,3,"['רמת גן אלרואי 48', 'רמת גן אלרואי 46']",אלרואי 48 רמת גן,"(32.071227500000006, 34.822187683333325)",Bialik,1.985058994,1000+,2022,21-22,21-22 - 1000+
"['006157', '0550']",2022-02-15 00:00:00,1600000,1600000,דירה בבית קומות,1,רמת גן,1960,50,2,"['רמת גן כנפי נשרים 42', 'רמת גן עוזיאל 96']",כנפי נשרים 42 רמת גן,"(32.0700113, 34.8221904)",Bialik,2.106763195,1000+,2022,21-22,21-22 - 1000+
"['006157', '0696']",2021-12-06 00:00:00,575000,575000,דירה בבית קומות,0.25,רמת גן,2004,73,4,['רמת גן אלרואי 47'],אלרואי 47 רמת גן,"(32.07150086666667, 34.8220846)",Bialik,1.953589994,1000+,2021,21-22,21-22 - 1000+
"['006157', '0694']",2022-03-13 00:00:00,2325983,2325983,דירה בבית קומות,1,רמת גן,2022,67,3,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2022,21-22,21-22 - 1000+
"['006158', '0243']",2022-03-15 00:00:00,2460000,2460000,דירה בבית קומות,1,רמת גן,1960,82,3,['רמת גן שדרות ירושלים 29'],ירושלים 29 רמת גן,"(32.0844369, 34.8298683)",Ben Gurion,0.936414259,500-1000,2022,21-22,21-22 - 500-1000
"['006157', '0684']",2022-03-13 00:00:00,2590000,2590000,דירה בבית קומות,1,רמת גן,2023,85,4,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006157', '0784']",2022-04-07 00:00:00,2690000,2690000,דירה בבית קומות,1,רמת גן,2021,81,4,['רמת גן כנפי נשרים 27'],כנפי נשרים 27 רמת גן,"(32.0705321, 34.8202301)",Bialik,1.981850063,1000+,2022,21-22,21-22 - 1000+
"['006157', '0684']",2022-02-22 00:00:00,2095000,2095000,דירה בבית קומות,1,רמת גן,2023,65,3,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006158', '0288']",2022-03-10 00:00:00,1070000,1070000,דירה בבית קומות,0.5,רמת גן,1970,78,3,"['רמת גן הנח""ל 12']","הנח""ל 12 רמת גן","(32.075816475, 34.823611)",Bialik,1.626790856,1000+,2022,21-22,21-22 - 1000+
"['006157', '0781']",2022-03-23 00:00:00,2160000,2160000,דירה בבית קומות,1,רמת גן,2019,45,2,['רמת גן כנפי נשרים 36'],כנפי נשרים 36 רמת גן,"(32.07036165, 34.82190741666666)",Bialik,2.060300277,1000+,2022,21-22,21-22 - 1000+
"['006157', '0573']",2022-05-10 00:00:00,1470000,1470000,דירה בבית קומות,0.5,רמת גן,2017,88,4,['רמת גן עוזיאל 122'],עוזיאל 122 רמת גן,"(32.0767735, 34.8231875)",Bialik,1.519422618,1000+,2022,21-22,21-22 - 1000+
"['006158', '0242']",2022-05-13 00:00:00,1875000,1875000,דירה בבית קומות,0.12,רמת גן,1950,65,3,"['רמת גן מוריה 10', 'רמת גן שדרות ירושלים 27']",מוריה 10 רמת גן,"(32.075066, 34.8220603)",Bialik,1.608603714,1000+,2022,21-22,21-22 - 1000+
"['006158', '0122']",2022-05-19 00:00:00,2713000,2713000,דירה בבית קומות,1,רמת גן,1970,90,5,['רמת גן הרכסים 73'],הרכסים 73 רמת גן,"(32.0729649, 34.8232546)",Bialik,1.865775408,1000+,2022,21-22,21-22 - 1000+
"['006158', '0191']",2022-04-26 00:00:00,2350000,2350000,דירה בבית קומות,1,רמת גן,1960,90,4,"['רמת גן עציון 5', 'רמת גן זלמן שניאור 1']",עציון 5 רמת גן,"(32.07569003333333, 34.81961911666667)",Bialik,1.433998095,1000+,2022,21-22,21-22 - 1000+
"['006158', '0272']",2022-05-23 00:00:00,1085000,1085000,דירה בבית קומות,0.5,רמת גן,1960,79,4,['רמת גן עוזיאל 43'],עוזיאל 43 רמת גן,"(32.07535995789473, 34.823250252631574)",Bialik,1.645961291,1000+,2022,21-22,21-22 - 1000+
"['006158', '0272']",2022-05-23 00:00:00,542500,542500,דירה בבית קומות,0.25,רמת גן,1960,79,4,['רמת גן עוזיאל 43'],עוזיאל 43 רמת גן,"(32.07535995789473, 34.823250252631574)",Bialik,1.645961291,1000+,2022,21-22,21-22 - 1000+
"['006158', '0505']",2022-05-24 00:00:00,2375000,2375000,דירה בבית קומות,1,רמת גן,1950,65,3,['רמת גן ההלכה 3'],ההלכה 3 רמת גן,"(32.0750687, 34.8257002)",Ben Gurion,1.774748886,1000+,2022,21-22,21-22 - 1000+
"['006157', '0581']",2022-05-16 00:00:00,733333,733333,דירה בבית קומות,0.333,רמת גן,1960,63,3,['רמת גן כנפי נשרים 22'],כנפי נשרים 22 רמת גן,"(32.07061948333333, 34.820592427777775)",Bialik,1.985175759,1000+,2022,21-22,21-22 - 1000+
"['006158', '0488']",2022-05-25 00:00:00,745250,745250,דירה בבית קומות,0.55,רמת גן,1950,60,3,['רמת גן נחמיה תמרי 17'],נחמיה תמרי 17 רמת גן,"(32.0759161, 34.8263285)",Ben Gurion,1.689479731,1000+,2022,21-22,21-22 - 1000+
"['006157', '0714']",2022-05-11 00:00:00,1700000,1700000,דירה בבית קומות,1,רמת גן,2008,51,2,['רמת גן המלך יוסף 37'],המלך יוסף 37 רמת גן,"(32.07093413333333, 34.82135576666667)",Bialik,1.981005661,1000+,2022,21-22,21-22 - 1000+
"['006158', '0223']",2022-05-25 00:00:00,2140000,2140000,דירה בבית קומות,1,רמת גן,2020,82,4,['רמת גן סמטת השילוח 10'],סמטת השילוח 10 רמת גן,"(32.0755203, 34.8203911)",Bialik,1.484538336,1000+,2022,21-22,21-22 - 1000+
"['006158', '0251']",2022-05-30 00:00:00,2480000,2480000,דירה בבית קומות,1,רמת גן,1993,71,3,['רמת גן עוזיאל 50'],עוזיאל 50 רמת גן,"(32.0767735, 34.8231875)",Bialik,1.519422618,1000+,2022,21-22,21-22 - 1000+
"['006157', '0782']",2022-05-09 00:00:00,3600000,3600000,דירה בבית קומות,1,רמת גן,2016,109,4,['רמת גן כנפי נשרים 25'],כנפי נשרים 25 רמת גן,"(32.0705321, 34.8202301)",Bialik,1.981850063,1000+,2022,21-22,21-22 - 1000+
"['006158', '0426']",2022-05-10 00:00:00,2450000,2450000,דירה בבית קומות,1,רמת גן,1950,77,3,['רמת גן ידידיה 5'],ידידיה 5 רמת גן,"(32.077172950000005, 34.8197177)",Bialik,1.2937151,1000+,2022,21-22,21-22 - 1000+
"['006157', '0647']",2022-05-26 00:00:00,1920000,1920000,דירה בבית קומות,1,רמת גן,2010,46,2,"['רמת גן רוחמה 52', 'רמת גן עוזיאל 80']",רוחמה 52 רמת גן,"(32.0717645, 34.8226743)",Bialik,1.953388811,1000+,2022,21-22,21-22 - 1000+
"['006158', '0316']",2022-06-08 00:00:00,3400000,3400000,דירה בבית קומות,1,רמת גן,1981,79,5,['רמת גן הסנה 18'],הסנה 18 רמת גן,"(32.075429666666665, 34.82426853333333)",Bialik,1.699244533,1000+,2022,21-22,21-22 - 1000+
"['006158', '0170']",2022-06-28 00:00:00,2340000,2340000,דירה בבית קומות,1,רמת גן,1980,61,3,['רמת גן הרכסים 8'],הרכסים 8 רמת גן,"(32.07295578947369, 34.81935344736842)",Bialik,1.701263447,1000+,2022,21-22,21-22 - 1000+
"['006158', '0132']",2022-05-17 00:00:00,3055001,3055001,דירה בבית קומות,1,רמת גן,2022,107,4,['רמת גן הרכסים 62'],הרכסים 62 רמת גן,"(32.0729649, 34.8232546)",Bialik,1.865775408,1000+,2022,21-22,21-22 - 1000+
"['006158', '0164']",2022-05-29 00:00:00,3350000,3350000,דירה בבית קומות,1,רמת גן,2001,81,4,['רמת גן הרכסים 19'],הרכסים 19 רמת גן,"(32.073187789473685, 34.82071585789474)",Bialik,1.728758502,1000+,2022,21-22,21-22 - 1000+
"['006158', '0368']",2022-06-19 00:00:00,900000,900000,דירה בבית קומות,0.25,רמת גן,1970,117,4,['רמת גן מעלה הבנים 11'],מעלה הבנים 11 רמת גן,"(32.075636816666666, 34.820905333333336)",Bialik,1.497383958,1000+,2022,21-22,21-22 - 1000+
"['006158', '0389']",2022-07-15 00:00:00,1525000,1525000,דירה בבית קומות,0.5,רמת גן,1984,76,5,['רמת גן עציון 9'],עציון 9 רמת גן,"(32.07554176666667, 34.81961273333334)",Bialik,1.448451958,1000+,2022,21-22,21-22 - 1000+
"['006158', '0304']",2022-07-27 00:00:00,2670000,2670000,דירה בבית קומות,1,רמת גן,1970,76,4,"['רמת גן הנח""ל 7']","הנח""ל 7 רמת גן","(32.076007525, 34.824042075)",Bialik,1.63637909,1000+,2022,21-22,21-22 - 1000+
"['006157', '0781']",2022-08-11 00:00:00,2630000,2630000,דירה בבית קומות,1,רמת גן,2019,63,3,['רמת גן כנפי נשרים 36'],כנפי נשרים 36 רמת גן,"(32.07036165, 34.82190741666666)",Bialik,2.060300277,1000+,2022,21-22,21-22 - 1000+
"['006157', '0667']",2022-07-14 00:00:00,4300000,4300000,דירה בבית קומות,1,רמת גן,1997,124,5,['רמת גן יד שלום 34'],יד שלום 34 רמת גן,"(32.0723939625, 34.821523825)",Bialik,1.841333348,1000+,2022,21-22,21-22 - 1000+
"['006158', '0436']",2022-07-25 00:00:00,2000000,2000000,דירה בבית קומות,1,רמת גן,1940,67,3,"['רמת גן חצור 24', 'רמת גן קרסקי 12']",חצור 24 רמת גן,"(32.0776225, 34.8244125)",Ben Gurion,1.482358153,1000+,2022,21-22,21-22 - 1000+
"['006157', '0684']",2022-05-31 00:00:00,1900000,1900000,דירה בבית קומות,1,רמת גן,2023,51,2,['רמת גן רוחמה 36'],רוחמה 36 רמת גן,"(32.07181625384616, 34.82149836153846)",Bialik,1.897838543,1000+,2022,21-22,21-22 - 1000+
"['006157', '0593']",2022-07-24 00:00:00,730000,730000,דירה בבית קומות,0.5,רמת גן,1960,63,3,"['רמת גן יד שלום 2', 'רמת גן דרך דוד בן-גוריון 205']",יד שלום 2 רמת גן,"(32.0725416, 34.8186288)",Bialik,1.721141658,1000+,2022,21-22,21-22 - 1000+
"['006158', '0438']",2022-08-04 00:00:00,2130000,2130000,דירה בבית קומות,0.103,רמת גן,1950,66,3,['רמת גן קרסקי 14'],קרסקי 14 רמת גן,"(32.078706, 34.8232854)",Ben Gurion,1.360451842,1000+,2022,21-22,21-22 - 1000+
"['006157', '0617']",2022-08-04 00:00:00,947722,947722,דירה בבית קומות,0.5,רמת גן,1970,85,3.5,"['רמת גן שדרות השחרור 2', 'רמת גן דרך דוד בן-גוריון 235']",השחרור 2 רמת גן,"(32.0691971, 34.8173726)",Bialik,2.047911341,1000+,2022,21-22,21-22 - 1000+
"['006158', '0105']",2022-08-31 00:00:00,2300000,2300000,דירה בבית קומות,1,רמת גן,1970,52,3,['רמת גן עוזיאל 28'],עוזיאל 28 רמת גן,"(32.0767735, 34.8231875)",Bialik,1.519422618,1000+,2022,21-22,21-22 - 1000+
"['006157', '0768']",2022-02-06 00:00:00,4000000,4000000,דירה בבית קומות,1,רמת גן,2016,130,4,['רמת גן אלרואי 53'],אלרואי 53 רמת גן,"(32.071484166666664, 34.822455399999996)",Bialik,1.971155605,1000+,2022,21-22,21-22 - 1000+
"['006158', '0396']",2022-08-09 00:00:00,3200000,3200000,דירה בבית קומות,1,רמת גן,1982,74,4,['רמת גן מעלה הבנים 17'],מעלה הבנים 17 רמת גן,"(32.0765408, 34.8209656)",Bialik,1.41515267,1000+,2022,21-22,21-22 - 1000+
"['006157', '0694']",2022-01-11 00:00:00,466743,466743,דירה בבית קומות,0.018,רמת גן,2022,67,3,['רמת גן אלרואי 39'],אלרואי 39 רמת גן,"(32.071523133333336, 34.8215902)",Bialik,1.930910832,1000+,2022,21-22,21-22 - 1000+
"['006158', '0310']",2022-08-22 00:00:00,2250000,2250000,דירה בבית קומות,1,רמת גן,1989,78,4,['רמת גן הסנה 6'],הסנה 6 רמת גן,"(32.07609306666666, 34.82431523333334)",Bialik,1.646048655,1000+,2022,21-22,21-22 - 1000+
"['006158', '0488']",2022-08-17 00:00:00,348000,348000,דירה בבית קומות,0.2,רמת גן,1950,48,2,['רמת גן נחמיה תמרי 17'],נחמיה תמרי 17 רמת גן,"(32.0759161, 34.8263285)",Ben Gurion,1.689479731,1000+,2022,21-22,21-22 - 1000+
"['006157', '0719']",2022-05-01 00:00:00,953333,953333,דירה בבית קומות,0.333,רמת גן,1990,87,5,['רמת גן המלך יוסף 50'],המלך יוסף 50 רמת גן,"(32.07059838461539, 34.82210424615384)",Bialik,2.044361038,1000+,2022,21-22,21-22 - 1000+
"['006157', '0658']",2022-08-30 00:00:00,2097000,2097000,דירה בבית קומות,1,רמת גן,1940,36,2,['רמת גן יד שלום 39'],יד שלום 39 רמת גן,"(32.072613411111114, 34.82162517037037)",Bialik,1.82392969,1000+,2022,21-22,21-22 - 1000+
"['006158', '0126']",2022-09-11 00:00:00,2350000,2350000,דירה בבית קומות,1,רמת גן,2016,46,3,['רמת גן הרכסים 65'],הרכסים 65 רמת גן,"(32.0729649, 34.8232546)",Bialik,1.865775408,1000+,2022,21-22,21-22 - 1000+
"['006157', '0775']",2022-04-12 00:00:00,1650000,1650000,דירה בבית קומות,0.5,רמת גן,2019,102,3,['רמת גן יד שלום 16'],יד שלום 16 רמת גן,"(32.072466139999996, 34.81998309)",Bialik,1.773778548,1000+,2022,21-22,21-22 - 1000+
"['006158', '0360']",2022-07-05 00:00:00,2250000,2250000,דירה בבית קומות,0.25,רמת גן,0,145,0,"['רמת גן מעלה השחר 6', 'רמת גן עציון 13']",מעלה השחר 6 רמת גן,"(32.075875, 34.8197119)",Bialik,1.419679858,1000+,2022,21-22,21-22 - 1000+
"['006154', '0700']",2021-12-20 00:00:00,2190000,2190000,דירה בבית קומות,1,גבעתיים,1950,55,3,"['גבעתיים הל""ה 40']","הל""ה 40 גבעתיים","(32.0730399, 34.8065316)",Abba Hillel,1.148645658,1000+,2021,21-22,21-22 - 1000+
"['006154', '0731']",2022-02-08 00:00:00,3300000,3300000,דירה בבית קומות,1,גבעתיים,1970,123,4,['גבעתיים הדגנים 20'],הדגנים 20 גבעתיים,"(32.0677235, 34.8077617)",Abba Hillel,1.74646642,1000+,2022,21-22,21-22 - 1000+
"['006154', '0702']",2022-03-09 00:00:00,2340000,2340000,דירה בבית קומות,1,גבעתיים,1960,67,3,['גבעתיים סנש 2'],סנש 2 גבעתיים,"(32.0685587, 34.8028512)",Sha'ul HaMelekh,1.36526216,1000+,2022,21-22,21-22 - 1000+
"['006154', '0730']",2022-07-03 00:00:00,3400000,3400000,דירה בבית קומות,1,גבעתיים,1970,106,4,['גבעתיים הדגנים 22'],הדגנים 22 גבעתיים,"(32.0677235, 34.8077617)",Abba Hillel,1.74646642,1000+,2022,21-22,21-22 - 1000+
"['006154', '0760']",2022-07-25 00:00:00,2870000,2870000,דירה בבית קומות,1,גבעתיים,1960,88,3,"['גבעתיים רמב""ם 31']","רמב""ם 31 גבעתיים","(32.0705529, 34.8074555)",Abba Hillel,1.437874917,1000+,2022,21-22,21-22 - 1000+
"['006154', '0750']",2022-07-17 00:00:00,408333,408333,דירה בבית קומות,0.166,גבעתיים,1960,62,3,"['גבעתיים רמב""ם 23']","רמב""ם 23 גבעתיים","(32.0705529, 34.8074555)",Abba Hillel,1.437874917,1000+,2022,21-22,21-22 - 1000+
"['006154', '0710']",2022-12-15 00:00:00,490000,490000,דירה בבית קומות,0.2,גבעתיים,1960,70,2.5,['גבעתיים ויצמן 70'],ויצמן 70 גבעתיים,"(32.0736954, 34.8086552)",Abba Hillel,1.162149892,1000+,2022,21-22,21-22 - 1000+
"['006154', '0718']",2023-01-26 00:00:00,3220000,3220000,דירה בבית קומות,1,גבעתיים,1960,69,4,"['גבעתיים רחל 25', 'גבעתיים ויצמן 74']",רחל 25 גבעתיים,"(32.067161, 34.8083335)",Abba Hillel,1.821529667,1000+,2023,23-24,23-24 - 1000+
"['006154', '0734']",2023-02-10 00:00:00,1050000,1050000,דירה בבית קומות,0.5,גבעתיים,1960,68,2.5,"['גבעתיים קרן קיימת לישראל 44', 'גבעתיים הל""ה 43', 'גבעתיים קרן קיימת לישראל 44']",קרן קיימת לישראל 44 גבעתיים,"(32.0796023, 34.8055834)",Abba Hillel,0.452703107,0-500,2023,23-24,23-24 - 0-500
"['006154', '0754']",2024-03-14 00:00:00,2400000,2400000,דירה בבית קומות,1,גבעתיים,1960,60,2.5,"['גבעתיים הל""ה 47', 'גבעתיים גוש עציון 12']","הל""ה 47 גבעתיים","(32.0728554, 34.8008297)",Sha'ul HaMelekh,0.938724643,500-1000,2024,23-24,23-24 - 500-1000
"['006154', '0706']",2024-05-12 00:00:00,2950000,2950000,דירה בבית קומות,1,גבעתיים,1970,82,3,['גבעתיים הדגנים 19'],הדגנים 19 גבעתיים,"(32.0677235, 34.8077617)",Abba Hillel,1.74646642,1000+,2024,23-24,23-24 - 1000+
"['006154', '0709']",2024-06-16 00:00:00,1020000,1020000,דירה בבית קומות,0.5,גבעתיים,1960,79,2.5,['גבעתיים ויצמן 68'],ויצמן 68 גבעתיים,"(32.0736954, 34.8086552)",Abba Hillel,1.162149892,1000+,2024,23-24,23-24 - 1000+
"['006154', '0744']",2024-09-09 00:00:00,1725000,1725000,דירה בבית קומות,0.5,גבעתיים,1960,108,5,"['גבעתיים הל""ה 45']","הל""ה 45 גבעתיים","(32.0735685, 34.8067138)",Abba Hillel,1.098918096,1000+,2024,23-24,23-24 - 1000+
"['006164', '0034']",2024-04-15 00:00:00,3515500,3515500,דירה בבית קומות,1,גבעתיים,2027,82,3,"['תל אביב-יפו דרך השלום 89', 'תל אביב-יפו עמישב 20']",השלום 89 תל אביב-יפו,"(32.063314, 34.803898)",Yehudit,1.645848591,1000+,2024,23-24,23-24 - 1000+
"['006164', '0034']",2024-04-21 00:00:00,4155570,4155570,דירה בבית קומות,1,גבעתיים,2027,100,4,"['תל אביב-יפו דרך השלום 89', 'תל אביב-יפו עמישב 20']",השלום 89 תל אביב-יפו,"(32.063314, 34.803898)",Yehudit,1.645848591,1000+,2024,23-24,23-24 - 1000+
"['006164', '0020']",2024-03-17 00:00:00,1156474,1156474,דירה בבית קומות,0.5,גבעתיים,2024,49,2,"['תל אביב-יפו דרך השלום 96', 'תל אביב-יפו שמעון ברנפלד 20']",השלום 96 תל אביב-יפו,"(32.062196, 34.803927)",Yehudit,1.708779277,1000+,2024,23-24,23-24 - 1000+
"['006164', '0020']",2023-09-26 00:00:00,1082500,1082500,דירה בבית קומות,0.5,גבעתיים,2024,46,2,"['תל אביב-יפו דרך השלום 96', 'תל אביב-יפו שמעון ברנפלד 20']",השלום 96 תל אביב-יפו,"(32.062196, 34.803927)",Yehudit,1.708779277,1000+,2023,23-24,23-24 - 1000+
"['006164', '0115']",2023-09-27 00:00:00,1069999,1069999,דירה בבית קומות,0.5,גבעתיים,2024,46,2,"['תל אביב-יפו דרך השלום 92', 'תל אביב-יפו שמעון ברנפלד 24']",השלום 92 תל אביב-יפו,"(32.062716, 34.803614)",Yehudit,1.654075643,1000+,2023,23-24,23-24 - 1000+
"['006164', '0020']",2023-10-17 00:00:00,1079999,1079999,דירה בבית קומות,0.5,גבעתיים,2024,46,2,"['תל אביב-יפו דרך השלום 96', 'תל אביב-יפו שמעון ברנפלד 20']",השלום 96 תל אביב-יפו,"(32.062196, 34.803927)",Yehudit,1.708779277,1000+,2023,23-24,23-24 - 1000+
